StartTime,Date,Time,DataProvider,SettlementDate,SettlementPeriod,Price
01/01/2035 00:00,01/01/2035,00:00:00,APXMIDP,01/01/2035,1,-1
01/01/2035 00:30,01/01/2035,00:30:00,APXMIDP,01/01/2035,2,-1
01/01/2035 01:00,01/01/2035,01:00:00,APXMIDP,01/01/2035,3,-1
01/01/2035 01:30,01/01/2035,01:30:00,APXMIDP,01/01/2035,4,-1
01/01/2035 02:00,01/01/2035,02:00:00,APXMIDP,01/01/2035,5,-1
01/01/2035 02:30,01/01/2035,02:30:00,APXMIDP,01/01/2035,6,-1
01/01/2035 03:00,01/01/2035,03:00:00,APXMIDP,01/01/2035,7,-1
01/01/2035 03:30,01/01/2035,03:30:00,APXMIDP,01/01/2035,8,-1
01/01/2035 04:00,01/01/2035,04:00:00,APXMIDP,01/01/2035,9,-1
01/01/2035 04:30,01/01/2035,04:30:00,APXMIDP,01/01/2035,10,-1
01/01/2035 05:00,01/01/2035,05:00:00,APXMIDP,01/01/2035,11,-1
01/01/2035 05:30,01/01/2035,05:30:00,APXMIDP,01/01/2035,12,-1
01/01/2035 06:00,01/01/2035,06:00:00,APXMIDP,01/01/2035,13,-1
01/01/2035 06:30,01/01/2035,06:30:00,APXMIDP,01/01/2035,14,-1
01/01/2035 07:00,01/01/2035,07:00:00,APXMIDP,01/01/2035,15,-1
01/01/2035 07:30,01/01/2035,07:30:00,APXMIDP,01/01/2035,16,-1
01/01/2035 08:00,01/01/2035,08:00:00,APXMIDP,01/01/2035,17,-1
01/01/2035 08:30,01/01/2035,08:30:00,APXMIDP,01/01/2035,18,-1
01/01/2035 09:00,01/01/2035,09:00:00,APXMIDP,01/01/2035,19,-1
01/01/2035 09:30,01/01/2035,09:30:00,APXMIDP,01/01/2035,20,-1
01/01/2035 10:00,01/01/2035,10:00:00,APXMIDP,01/01/2035,21,-1
01/01/2035 10:30,01/01/2035,10:30:00,APXMIDP,01/01/2035,22,-1
01/01/2035 11:00,01/01/2035,11:00:00,APXMIDP,01/01/2035,23,-1
