StartTime,Date,Time,DataProvider,SettlementDate,SettlementPeriod,Price,Volume
01/01/2024 00:00,01/01/2024,00:00,APXMIDP,01/01/2024,1,36.51,664.4
01/01/2024 00:30,01/01/2024,00:30,APXMIDP,01/01/2024,2,45.17,768.65
01/01/2024 01:00,01/01/2024,01:00,APXMIDP,01/01/2024,3,57.43,805.4
01/01/2024 01:30,01/01/2024,01:30,APXMIDP,01/01/2024,4,46.61,655.85
01/01/2024 02:00,01/01/2024,02:00,APXMIDP,01/01/2024,5,61.98,756.35
01/01/2024 02:30,01/01/2024,02:30,APXMIDP,01/01/2024,6,61.09,807.9
01/01/2024 03:00,01/01/2024,03:00,APXMIDP,01/01/2024,7,64.29,744.7
01/01/2024 03:30,01/01/2024,03:30,APXMIDP,01/01/2024,8,51.7,762.25
01/01/2024 04:00,01/01/2024,04:00,APXMIDP,01/01/2024,9,53.16,806.95
01/01/2024 04:30,01/01/2024,04:30,APXMIDP,01/01/2024,10,34.87,1125.35
01/01/2024 05:00,01/01/2024,05:00,APXMIDP,01/01/2024,11,36.36,1072.5
01/01/2024 05:30,01/01/2024,05:30,APXMIDP,01/01/2024,12,34.98,1202.3
01/01/2024 06:00,01/01/2024,06:00,APXMIDP,01/01/2024,13,41.7,979.75
01/01/2024 06:30,01/01/2024,06:30,APXMIDP,01/01/2024,14,55.33,1041.8
01/01/2024 07:00,01/01/2024,07:00,APXMIDP,01/01/2024,15,54.37,1154.9
01/01/2024 07:30,01/01/2024,07:30,APXMIDP,01/01/2024,16,56.24,1157.5
01/01/2024 08:00,01/01/2024,08:00,APXMIDP,01/01/2024,17,31.32,1149.65
01/01/2024 08:30,01/01/2024,08:30,APXMIDP,01/01/2024,18,51.55,981.8
01/01/2024 09:00,01/01/2024,09:00,APXMIDP,01/01/2024,19,59.32,1018
01/01/2024 09:30,01/01/2024,09:30,APXMIDP,01/01/2024,20,72.25,900.5
01/01/2024 10:00,01/01/2024,10:00,APXMIDP,01/01/2024,21,72.03,894.5
01/01/2024 10:30,01/01/2024,10:30,APXMIDP,01/01/2024,22,82.01,1019.05
01/01/2024 11:00,01/01/2024,11:00,APXMIDP,01/01/2024,23,74.73,1122.75
01/01/2024 11:30,01/01/2024,11:30,APXMIDP,01/01/2024,24,81.93,1406.65
01/01/2024 12:00,01/01/2024,12:00,APXMIDP,01/01/2024,25,80.76,1207.6
01/01/2024 12:30,01/01/2024,12:30,APXMIDP,01/01/2024,26,77.51,1472.75
01/01/2024 13:00,01/01/2024,13:00,APXMIDP,01/01/2024,27,76.18,1066.15
01/01/2024 13:30,01/01/2024,13:30,APXMIDP,01/01/2024,28,77.48,1242
01/01/2024 14:00,01/01/2024,14:00,APXMIDP,01/01/2024,29,79.5,991.2
01/01/2024 14:30,01/01/2024,14:30,APXMIDP,01/01/2024,30,81.15,1270.8
01/01/2024 15:00,01/01/2024,15:00,APXMIDP,01/01/2024,31,66.03,1173.5
01/01/2024 15:30,01/01/2024,15:30,APXMIDP,01/01/2024,32,61.93,1211.75
01/01/2024 16:00,01/01/2024,16:00,APXMIDP,01/01/2024,33,67.62,1377.85
01/01/2024 16:30,01/01/2024,16:30,APXMIDP,01/01/2024,34,68.13,1615.05
01/01/2024 17:00,01/01/2024,17:00,APXMIDP,01/01/2024,35,60.94,1834.95
01/01/2024 17:30,01/01/2024,17:30,APXMIDP,01/01/2024,36,59.6,2022
01/01/2024 18:00,01/01/2024,18:00,APXMIDP,01/01/2024,37,57.81,1982.05
01/01/2024 18:30,01/01/2024,18:30,APXMIDP,01/01/2024,38,56.01,1804.9
01/01/2024 19:00,01/01/2024,19:00,APXMIDP,01/01/2024,39,49.22,2423.9
01/01/2024 19:30,01/01/2024,19:30,APXMIDP,01/01/2024,40,36.77,2392.65
01/01/2024 20:00,01/01/2024,20:00,APXMIDP,01/01/2024,41,32.8,2618.35
01/01/2024 20:30,01/01/2024,20:30,APXMIDP,01/01/2024,42,26.77,2622.85
01/01/2024 21:00,01/01/2024,21:00,APXMIDP,01/01/2024,43,29.14,3210.7
01/01/2024 21:30,01/01/2024,21:30,APXMIDP,01/01/2024,44,22.32,3401.95
01/01/2024 22:00,01/01/2024,22:00,APXMIDP,01/01/2024,45,15.77,3720.55
01/01/2024 22:30,01/01/2024,22:30,APXMIDP,01/01/2024,46,14.32,3622.75
01/01/2024 23:00,01/01/2024,23:00,APXMIDP,01/01/2024,47,-13.73,1715.2
01/01/2024 23:30,01/01/2024,23:30,APXMIDP,01/01/2024,48,-20.16,1760.3
02/01/2024 00:00,02/01/2024,00:00,APXMIDP,02/01/2024,1,-16.93,1805.65
02/01/2024 00:30,02/01/2024,00:30,APXMIDP,02/01/2024,2,-11.09,1625.85
02/01/2024 01:00,02/01/2024,01:00,APXMIDP,02/01/2024,3,-7.61,2039.5
02/01/2024 01:30,02/01/2024,01:30,APXMIDP,02/01/2024,4,-10.94,2011.55
02/01/2024 02:00,02/01/2024,02:00,APXMIDP,02/01/2024,5,-15.39,1603.35
02/01/2024 02:30,02/01/2024,02:30,APXMIDP,02/01/2024,6,-11.55,1709.05
02/01/2024 03:00,02/01/2024,03:00,APXMIDP,02/01/2024,7,-1.74,1444.7
02/01/2024 03:30,02/01/2024,03:30,APXMIDP,02/01/2024,8,-10.46,1390.35
02/01/2024 04:00,02/01/2024,04:00,APXMIDP,02/01/2024,9,-8.68,1625.15
02/01/2024 04:30,02/01/2024,04:30,APXMIDP,02/01/2024,10,16.66,1640.5
02/01/2024 05:00,02/01/2024,05:00,APXMIDP,02/01/2024,11,11.71,1473.35
02/01/2024 05:30,02/01/2024,05:30,APXMIDP,02/01/2024,12,31.42,1873.45
02/01/2024 06:00,02/01/2024,06:00,APXMIDP,02/01/2024,13,33.62,1928.6
02/01/2024 06:30,02/01/2024,06:30,APXMIDP,02/01/2024,14,46.71,1891.85
02/01/2024 07:00,02/01/2024,07:00,APXMIDP,02/01/2024,15,50.87,2081.25
02/01/2024 07:30,02/01/2024,07:30,APXMIDP,02/01/2024,16,52.47,2040.85
02/01/2024 08:00,02/01/2024,08:00,APXMIDP,02/01/2024,17,50.41,2521.35
02/01/2024 08:30,02/01/2024,08:30,APXMIDP,02/01/2024,18,49.32,2595.15
02/01/2024 09:00,02/01/2024,09:00,APXMIDP,02/01/2024,19,56.37,2675.55
02/01/2024 09:30,02/01/2024,09:30,APXMIDP,02/01/2024,20,55.39,2662.55
02/01/2024 10:00,02/01/2024,10:00,APXMIDP,02/01/2024,21,56.68,2051.35
02/01/2024 10:30,02/01/2024,10:30,APXMIDP,02/01/2024,22,66.05,2646.8
02/01/2024 11:00,02/01/2024,11:00,APXMIDP,02/01/2024,23,65.33,2542.5
02/01/2024 11:30,02/01/2024,11:30,APXMIDP,02/01/2024,24,76.54,3270.8
02/01/2024 12:00,02/01/2024,12:00,APXMIDP,02/01/2024,25,80.93,2935.2
02/01/2024 12:30,02/01/2024,12:30,APXMIDP,02/01/2024,26,75.65,2934.5
02/01/2024 13:00,02/01/2024,13:00,APXMIDP,02/01/2024,27,76.97,2868
02/01/2024 13:30,02/01/2024,13:30,APXMIDP,02/01/2024,28,74.97,2802.1
02/01/2024 14:00,02/01/2024,14:00,APXMIDP,02/01/2024,29,77.05,2763
02/01/2024 14:30,02/01/2024,14:30,APXMIDP,02/01/2024,30,78.21,2834.2
02/01/2024 15:00,02/01/2024,15:00,APXMIDP,02/01/2024,31,66.8,1841.35
02/01/2024 15:30,02/01/2024,15:30,APXMIDP,02/01/2024,32,73.21,2084.3
02/01/2024 16:00,02/01/2024,16:00,APXMIDP,02/01/2024,33,73.76,2026.15
02/01/2024 16:30,02/01/2024,16:30,APXMIDP,02/01/2024,34,77.03,2308
02/01/2024 17:00,02/01/2024,17:00,APXMIDP,02/01/2024,35,69.8,2177.65
02/01/2024 17:30,02/01/2024,17:30,APXMIDP,02/01/2024,36,70.61,2414.3
02/01/2024 18:00,02/01/2024,18:00,APXMIDP,02/01/2024,37,67.7,2394.9
02/01/2024 18:30,02/01/2024,18:30,APXMIDP,02/01/2024,38,69.11,2787
02/01/2024 19:00,02/01/2024,19:00,APXMIDP,02/01/2024,39,76.07,2189.3
02/01/2024 19:30,02/01/2024,19:30,APXMIDP,02/01/2024,40,77.06,2147.1
02/01/2024 20:00,02/01/2024,20:00,APXMIDP,02/01/2024,41,80.64,2280.2
02/01/2024 20:30,02/01/2024,20:30,APXMIDP,02/01/2024,42,73.83,2561.3
02/01/2024 21:00,02/01/2024,21:00,APXMIDP,02/01/2024,43,63.5,2423.05
02/01/2024 21:30,02/01/2024,21:30,APXMIDP,02/01/2024,44,59.78,2506.1
02/01/2024 22:00,02/01/2024,22:00,APXMIDP,02/01/2024,45,59.71,2107.3
02/01/2024 22:30,02/01/2024,22:30,APXMIDP,02/01/2024,46,58.88,2090.4
02/01/2024 23:00,02/01/2024,23:00,APXMIDP,02/01/2024,47,78.77,1297.55
02/01/2024 23:30,02/01/2024,23:30,APXMIDP,02/01/2024,48,75.17,1423.8
03/01/2024 00:00,03/01/2024,00:00,APXMIDP,03/01/2024,1,71.16,1576.4
03/01/2024 00:30,03/01/2024,00:30,APXMIDP,03/01/2024,2,87.09,1747.65
03/01/2024 01:00,03/01/2024,01:00,APXMIDP,03/01/2024,3,82.24,1427.9
03/01/2024 01:30,03/01/2024,01:30,APXMIDP,03/01/2024,4,80.81,1511.45
03/01/2024 02:00,03/01/2024,02:00,APXMIDP,03/01/2024,5,84.72,1890.35
03/01/2024 02:30,03/01/2024,02:30,APXMIDP,03/01/2024,6,77.7,1916.6
03/01/2024 03:00,03/01/2024,03:00,APXMIDP,03/01/2024,7,84.63,1472.7
03/01/2024 03:30,03/01/2024,03:30,APXMIDP,03/01/2024,8,80.15,1611.85
03/01/2024 04:00,03/01/2024,04:00,APXMIDP,03/01/2024,9,66.99,1906.9
03/01/2024 04:30,03/01/2024,04:30,APXMIDP,03/01/2024,10,76.65,1984.2
03/01/2024 05:00,03/01/2024,05:00,APXMIDP,03/01/2024,11,66.69,2039.5
03/01/2024 05:30,03/01/2024,05:30,APXMIDP,03/01/2024,12,71.11,1884.95
03/01/2024 06:00,03/01/2024,06:00,APXMIDP,03/01/2024,13,56.59,2134.8
03/01/2024 06:30,03/01/2024,06:30,APXMIDP,03/01/2024,14,53.63,2686.3
03/01/2024 07:00,03/01/2024,07:00,APXMIDP,03/01/2024,15,51.61,2816.9
03/01/2024 07:30,03/01/2024,07:30,APXMIDP,03/01/2024,16,56.96,3021.85
03/01/2024 08:00,03/01/2024,08:00,APXMIDP,03/01/2024,17,57.31,2528.8
03/01/2024 08:30,03/01/2024,08:30,APXMIDP,03/01/2024,18,56.72,2824.8
03/01/2024 09:00,03/01/2024,09:00,APXMIDP,03/01/2024,19,75.17,2448.7
03/01/2024 09:30,03/01/2024,09:30,APXMIDP,03/01/2024,20,85.91,2790.75
03/01/2024 10:00,03/01/2024,10:00,APXMIDP,03/01/2024,21,89.33,2527.35
03/01/2024 10:30,03/01/2024,10:30,APXMIDP,03/01/2024,22,86.83,3418.05
03/01/2024 11:00,03/01/2024,11:00,APXMIDP,03/01/2024,23,97.1,2500.5
03/01/2024 11:30,03/01/2024,11:30,APXMIDP,03/01/2024,24,96.2,2896.6
03/01/2024 12:00,03/01/2024,12:00,APXMIDP,03/01/2024,25,93.56,2954.3
03/01/2024 12:30,03/01/2024,12:30,APXMIDP,03/01/2024,26,89.66,2931.7
03/01/2024 13:00,03/01/2024,13:00,APXMIDP,03/01/2024,27,85.62,3323.3
03/01/2024 13:30,03/01/2024,13:30,APXMIDP,03/01/2024,28,86,3154.9
03/01/2024 14:00,03/01/2024,14:00,APXMIDP,03/01/2024,29,87.27,2904.95
03/01/2024 14:30,03/01/2024,14:30,APXMIDP,03/01/2024,30,82.64,3106.45
03/01/2024 15:00,03/01/2024,15:00,APXMIDP,03/01/2024,31,87.58,3144.85
03/01/2024 15:30,03/01/2024,15:30,APXMIDP,03/01/2024,32,84.99,3198.3
03/01/2024 16:00,03/01/2024,16:00,APXMIDP,03/01/2024,33,87.72,2809.4
03/01/2024 16:30,03/01/2024,16:30,APXMIDP,03/01/2024,34,90.79,3307.3
03/01/2024 17:00,03/01/2024,17:00,APXMIDP,03/01/2024,35,88.13,3291.95
03/01/2024 17:30,03/01/2024,17:30,APXMIDP,03/01/2024,36,84.55,3054.9
03/01/2024 18:00,03/01/2024,18:00,APXMIDP,03/01/2024,37,83.92,2890.6
03/01/2024 18:30,03/01/2024,18:30,APXMIDP,03/01/2024,38,87.29,2971.4
03/01/2024 19:00,03/01/2024,19:00,APXMIDP,03/01/2024,39,82.93,2923.95
03/01/2024 19:30,03/01/2024,19:30,APXMIDP,03/01/2024,40,77.09,2906.8
03/01/2024 20:00,03/01/2024,20:00,APXMIDP,03/01/2024,41,74.49,2481.9
03/01/2024 20:30,03/01/2024,20:30,APXMIDP,03/01/2024,42,71.72,2536.7
03/01/2024 21:00,03/01/2024,21:00,APXMIDP,03/01/2024,43,70.55,2456.8
03/01/2024 21:30,03/01/2024,21:30,APXMIDP,03/01/2024,44,73.65,2592.7
03/01/2024 22:00,03/01/2024,22:00,APXMIDP,03/01/2024,45,79.5,2634.85
03/01/2024 22:30,03/01/2024,22:30,APXMIDP,03/01/2024,46,77.07,2604.6
03/01/2024 23:00,03/01/2024,23:00,APXMIDP,03/01/2024,47,68.83,1352.3
03/01/2024 23:30,03/01/2024,23:30,APXMIDP,03/01/2024,48,60.38,1249.2
04/01/2024 00:00,04/01/2024,00:00,APXMIDP,04/01/2024,1,71.52,1431.1
04/01/2024 00:30,04/01/2024,00:30,APXMIDP,04/01/2024,2,67.48,1576.25
04/01/2024 01:00,04/01/2024,01:00,APXMIDP,04/01/2024,3,62.54,1630
04/01/2024 01:30,04/01/2024,01:30,APXMIDP,04/01/2024,4,59.58,1546.3
04/01/2024 02:00,04/01/2024,02:00,APXMIDP,04/01/2024,5,60.42,1627.5
04/01/2024 02:30,04/01/2024,02:30,APXMIDP,04/01/2024,6,60.38,1756.45
04/01/2024 03:00,04/01/2024,03:00,APXMIDP,04/01/2024,7,57.23,1813.55
04/01/2024 03:30,04/01/2024,03:30,APXMIDP,04/01/2024,8,50.83,1463.9
04/01/2024 04:00,04/01/2024,04:00,APXMIDP,04/01/2024,9,57.07,1437
04/01/2024 04:30,04/01/2024,04:30,APXMIDP,04/01/2024,10,54.37,1338.2
04/01/2024 05:00,04/01/2024,05:00,APXMIDP,04/01/2024,11,61.31,1660.15
04/01/2024 05:30,04/01/2024,05:30,APXMIDP,04/01/2024,12,60.86,1456.2
04/01/2024 06:00,04/01/2024,06:00,APXMIDP,04/01/2024,13,73.56,2171.6
04/01/2024 06:30,04/01/2024,06:30,APXMIDP,04/01/2024,14,52.52,1941.35
04/01/2024 07:00,04/01/2024,07:00,APXMIDP,04/01/2024,15,56.05,2021.75
04/01/2024 07:30,04/01/2024,07:30,APXMIDP,04/01/2024,16,64.92,1817.15
04/01/2024 08:00,04/01/2024,08:00,APXMIDP,04/01/2024,17,66.22,1992.75
04/01/2024 08:30,04/01/2024,08:30,APXMIDP,04/01/2024,18,77.67,2277.45
04/01/2024 09:00,04/01/2024,09:00,APXMIDP,04/01/2024,19,74.71,2087.15
04/01/2024 09:30,04/01/2024,09:30,APXMIDP,04/01/2024,20,75.85,2206.1
04/01/2024 10:00,04/01/2024,10:00,APXMIDP,04/01/2024,21,69.74,2272.85
04/01/2024 10:30,04/01/2024,10:30,APXMIDP,04/01/2024,22,75.57,2593.75
04/01/2024 11:00,04/01/2024,11:00,APXMIDP,04/01/2024,23,72.14,2383.6
04/01/2024 11:30,04/01/2024,11:30,APXMIDP,04/01/2024,24,73.2,2796.95
04/01/2024 12:00,04/01/2024,12:00,APXMIDP,04/01/2024,25,80.16,1948.3
04/01/2024 12:30,04/01/2024,12:30,APXMIDP,04/01/2024,26,83.97,2090.1
04/01/2024 13:00,04/01/2024,13:00,APXMIDP,04/01/2024,27,86.81,2061.7
04/01/2024 13:30,04/01/2024,13:30,APXMIDP,04/01/2024,28,88.78,2133.95
04/01/2024 14:00,04/01/2024,14:00,APXMIDP,04/01/2024,29,95.02,2021.45
04/01/2024 14:30,04/01/2024,14:30,APXMIDP,04/01/2024,30,87.97,2555.65
04/01/2024 15:00,04/01/2024,15:00,APXMIDP,04/01/2024,31,97.13,2050.05
04/01/2024 15:30,04/01/2024,15:30,APXMIDP,04/01/2024,32,106.02,2220.5
04/01/2024 16:00,04/01/2024,16:00,APXMIDP,04/01/2024,33,115.45,2155.7
